method,sim_setup,beta_int,epsilon,rep,seed,status,synth_file,sigma,epochs,beta123_real,se_real,p_real,R2_real_train,beta123_syn,se_syn,p_syn,R2_syn_train,abs_err_beta123,RMSE_holdout,R2_holdout,RMSE_real_holdout,R2_real_holdout,delta_RMSE_holdout,delta_R2_holdout
DPWGAN,nonconstant,0.5,4.0,2,20104002,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_4\synthetic_rep_02.csv,2.0,244,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,0.041997345677451677,0.005970360891057787,2.09554922871824e-12,0.7402625536845804,0.46745391879915105,1.2757992864033596,0.7257578401800457,0.9962164170623211,0.8327843584088086,0.2795828693410385,-0.10702651822876286
DPWGAN,nonconstant,0.5,4.0,3,20104003,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_4\synthetic_rep_03.csv,2.0,244,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,0.01651416009541968,0.007054501434986582,0.01924925616965588,0.7190055316986814,0.49293710438118304,1.538174591389379,0.6013600891859627,0.9962164170623211,0.8327843584088086,0.5419581743270578,-0.23142426922284587
DPWGAN,nonconstant,0.5,4.0,4,20104004,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_4\synthetic_rep_04.csv,2.0,244,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,-0.002930177190496694,0.004813229017461485,0.5426829606335668,0.7901940825628404,0.5123814416670994,1.4211341413056136,0.6597174670414874,0.9962164170623211,0.8327843584088086,0.42491772424329244,-0.17306689136732123
DPWGAN,nonconstant,0.5,4.0,5,20104005,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_4\synthetic_rep_05.csv,2.0,244,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,0.037287789879733704,0.004953795040704665,5.503723329403402e-14,0.834988472091905,0.472163474596869,1.2493672096594917,0.7370036520986185,0.9962164170623211,0.8327843584088086,0.25315079259717055,-0.09578070631019009
DPWGAN,nonconstant,0.5,5.0,1,20105001,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_5\synthetic_rep_01.csv,2.0,383,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,0.32648075812488386,0.007872173908492831,0.0,0.6451065204178443,0.18297050635171885,1.2776516699946308,0.7249608959017475,0.9962164170623211,0.8327843584088086,0.28143525293230964,-0.1078234625070611
DPWGAN,nonconstant,0.5,5.0,2,20105002,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_5\synthetic_rep_02.csv,2.0,383,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,0.09844928498346528,0.006198694826995304,2.60921636357414e-56,0.8157851131298797,0.41100197949313744,1.2982629053504657,0.7160153882872873,0.9962164170623211,0.8327843584088086,0.3020464882881446,-0.11676897012152132
DPWGAN,nonconstant,0.5,5.0,3,20105003,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_5\synthetic_rep_03.csv,2.0,383,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,0.05339099534835253,0.0044626050591548465,7.922654289684392e-33,0.697943819466381,0.4560602691282502,1.3657336691885105,0.6857310004256444,0.9962164170623211,0.8327843584088086,0.36951725212618936,-0.1470533579831642
DPWGAN,nonconstant,0.5,5.0,4,20105004,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_5\synthetic_rep_04.csv,2.0,383,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,0.12996795055520557,0.00673292831715951,5.839570974293449e-82,0.8445813141126843,0.3794833139213971,1.277111581024766,0.7251933758386417,0.9962164170623211,0.8327843584088086,0.28089516396244485,-0.10759098257016686
DPWGAN,nonconstant,0.5,5.0,5,20105005,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_0.500\eps_5\synthetic_rep_05.csv,2.0,383,0.5094512644766027,0.006032483982628904,0.0,0.8202783916013237,0.12994623676498374,0.006720191277096361,3.1121257751333376e-82,0.736916841341918,0.379505027711619,1.1677954142877784,0.7702248587039326,0.9962164170623211,0.8327843584088086,0.17157899722545733,-0.06255949970487595
DPWGAN,nonconstant,1.0,1.0,1,30101001,OK,higher_order_dpwgan_sweep_nonconstant\beta_int_1.000\eps_1\synthetic_rep_01.csv,2.0,20,1.0019493007793727,0.005975733438679315,0.0,0.903225878138121,-0.013202361594843448,0.06453915136956703,0.8379160668644678,0.8192265954890807,1.0151516623742163,2.04313756875971,0.6155837052017322,1.0027451815379271,0.9074049571938431,1.040392387221783,-0.29182125199211084
